site	device	port	iftype	netbox_description	far_device	far_port	far_role	class	mbps	expected	len	note
CH-STA-L50	CH-STA-L50-L01-ACCE08	24	1000base-t	UPLINK	CH-STA-L50-L01-DIST01	8	Switch Dist	USW	1000	USW-1G-L01-D01_8	16	
CH-STA-L50	CH-STA-L50-L01-ACCE09	24	1000base-t	UPLINK	CH-STA-L50-L01-DIST01	9	Switch Dist	USW	1000	USW-1G-L01-D01_9	16	
CH-STA-L50	CH-STA-L50-L01-ACCE10	24	1000base-t	UPLINK	CH-STA-L50-L01-DIST01	10	Switch Dist	USW	1000	USW-1G-L01-D01_10	17	
CH-STA-L50	CH-STA-L50-L01-ACCE11	23	1000base-t		CH-STA-L50-L01-MGMT01	1:20	Switch Mgmt	USW	1000	USW-1G-L01-M01_1_20	19	
CH-STA-L50	CH-STA-L50-L01-ACCE11	24	1000base-t	UPLINK	CH-STA-L50-L01-MGMT01	1:21	Switch Mgmt	USW	1000	USW-1G-L01-M01_1_21	19	
CH-STA-L50	CH-STA-L50-L01-ACCE12	24	1000base-t	UPLINK	CH-STA-L50-L01-DIST01	12	Switch Dist	USW	1000	USW-1G-L01-D01_12	17	
CH-STA-L50	CH-STA-L50-L01-ACCE13	24	1000base-t	UPLINK	CH-STA-L50-L01-DIST01	13	Switch Dist	USW	1000	USW-1G-L01-D01_13	17	
CH-STA-L50	CH-STA-L50-L01-ACCE14	24	1000base-t	UPLINK	CH-STA-L50-L01-DIST01	14	Switch Dist	USW	1000	USW-1G-L01-D01_14	17	
CH-STA-L50	CH-STA-L50-L01-ACCE15	24	1000base-t	UPLINK	CH-STA-L50-L01-DIST01	15	Switch Dist	USW	1000	USW-1G-L01-D01_15	17	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/10	10gbase-x-sfpp	Backup_SRV_LAN1	CH-STA-P-BACK02	LOM1	Server	US	10000	US-P-BACK02_LOM1	16	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/17	10gbase-x-sfpp	L50-B01-Di01:29	CH-STA-L50-B01-DIST01	29	Switch Dist	USW	10000	USW-B01-D01_29	14	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/18	10gbase-x-sfpp	L50-GFL-Di01:29	CH-STA-L50-GFL-DIST01	29	Switch Dist	USW	10000	USW-GFL-D01_29	14	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/19	10gbase-x-sfpp	L50-GFL-Di02:29	CH-STA-L50-GFL-DIST02	29	Switch Dist	USW	10000	USW-GFL-D02_29	14	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/2	10gbase-x-sfpp	S-FWZONE:X1	CH-STA-L50-FWZone01	x1	Firewall	USW	10000	USW-FW01_X1	11	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/20	10gbase-x-sfpp	L50-L02-Di02:54	CH-STA-L50-L01-DIST01	29	Switch Dist	USW	10000	USW-L01-D01_29	14	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/21	10gbase-x-sfpp	L50-L01-Di01:29	CH-STA-L50-L02-DIST01	54	Switch Dist	USW	10000	USW-L02-D01_54	14	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/22	10gbase-x-sfpp	L42-Co01:1:14	CH-STA-L42-CORE01-2	02:14	Switch Core	USW	10000	USW-L42-C01_2_14	16	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/23	10gbase-x-sfpp	L44-Co01:1:1	CH-STA-L44-L02-CORE01-1	01:01	Switch Core	USW	10000	USW-L44-C01_1_1	15	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/24	10gbase-x-sfpp	NNI:L50-Co02:1/24	CH-STA-L50-L01-CORE02	1:24	Switch Core	USW	10000	USW-L01-C02_1_24	16	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/3	10gbase-x-sfpp	S-FWZONE:X3	CH-STA-L50-FWZone01	x3	Firewall	USW	10000	USW-FW01_X3	11	
