canary_key	iftype	netbox_description	far_device	far_port	far_role	far_site	far_is_mgmt	link_mbps	class	expected_label	len	headroom	status
CH-NKN-G08-L02-CORE01-1::1:1	1000base-x-sfp	GFL_DIST01_p23	CH-NKN-G08-GFL-DIST01	23	Switch Dist	ch-nkn-g08	FALSE	1000	USW	USW-1G-DI01_P23	15	5	ok
CH-NKN-G08-L02-CORE01-1::1:15	extreme-summitstack	Stack-CORE02_p16	CH-NKN-G08-L02-CORE01-2	02:16	Switch Core	ch-nkn-g08	FALSE		USW	USW-L02-CO01-2	14	6	ok
CH-NKN-G08-L02-CORE01-1::1:16	extreme-summitstack	Stack-CORE02_p15	CH-NKN-G08-L02-CORE01-2	02:15	Switch Core	ch-nkn-g08	FALSE		USW	USW-L02-CO01-2	14	6	ok
CH-NKN-G08-L02-CORE01-1::1:3	1000base-x-sfp	L02-DIST01_p23	CH-NKN-G08-L02-DIST01	23	Switch Dist	ch-nkn-g08	FALSE	1000	USW	USW-1G-DI01_P23	15	5	ok
CH-NKN-G08-L02-CORE01-1::1:5	1000base-x-sfp	L02-ACCE01_p23	CH-NKN-G08-L02-ACCE01	23	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC01_P23	15	5	ok
CH-NKN-G08-L02-CORE01-1::1:6	1000base-x-sfp	L02-ACCE02_p23	CH-NKN-G08-L02-ACCE02	23	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC02_P23	15	5	ok
CH-NKN-G08-L02-CORE01-1::1:7	1000base-t	L02-ACCE03_p23	CH-NKN-G08-L02-ACCE03	23	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC03_P23	15	5	ok
CH-NKN-G08-L02-CORE01-1::1:8	1000base-t	L02-ACCE04_p23	CH-NKN-G08-L02-ACCE04	23	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC04_P23	15	5	ok
CH-NKN-G08-L02-CORE01-2::2:1	1000base-x-sfp	GFL_DIST01_p24	CH-NKN-G08-GFL-DIST01	24	Switch Dist	ch-nkn-g08	FALSE	1000	USW	USW-1G-DI01_P24	15	5	ok
CH-NKN-G08-L02-CORE01-2::2:15	extreme-summitstack	Stack-CORE01_p16	CH-NKN-G08-L02-CORE01-1	01:16	Switch Core	ch-nkn-g08	FALSE		USW	USW-L02-CO01-1	14	6	ok
CH-NKN-G08-L02-CORE01-2::2:16	extreme-summitstack	Stack-CORE01_p15	CH-NKN-G08-L02-CORE01-1	01:15	Switch Core	ch-nkn-g08	FALSE		USW	USW-L02-CO01-1	14	6	ok
CH-NKN-G08-L02-CORE01-2::2:3	1000base-x-sfp	L02-DIST01_p24	CH-NKN-G08-L02-DIST01	24	Switch Dist	ch-nkn-g08	FALSE	1000	USW	USW-1G-DI01_P24	15	5	ok
CH-NKN-G08-L02-CORE01-2::2:5	1000base-x-sfp	L02-ACCE01_p24	CH-NKN-G08-L02-ACCE01	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC01_P24	15	5	ok
CH-NKN-G08-L02-CORE01-2::2:6	1000base-x-sfp	L02-ACCE02_p24	CH-NKN-G08-L02-ACCE02	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC02_P24	15	5	ok
CH-NKN-G08-L02-CORE01-2::2:7	1000base-t	L02-ACCE03_p24	CH-NKN-G08-L02-ACCE03	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC03_P24	15	5	ok
CH-NKN-G08-L02-CORE01-2::2:8	1000base-t	L02-ACCE04_p24	CH-NKN-G08-L02-ACCE04	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC04_P24	15	5	ok
CH-NKN-G08-L02-DIST01::1	1000base-t	L02-ACCE01_p23	CH-NKN-G08-L02-ACCE05	23	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC05_P23	15	5	ok
CH-NKN-G08-L02-DIST01::2	1000base-t	L02-ACCE01_p24	CH-NKN-G08-L02-ACCE05	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC05_P24	15	5	ok
CH-NKN-G08-L02-DIST01::23	1000base-t	CH-NKN-CORE02_p1	CH-NKN-G08-L02-CORE01-1	01:03	Switch Core	ch-nkn-g08	FALSE	1000	USW	USW-1G-CO01-1_P1.3	18	2	ok
CH-NKN-G08-L02-DIST01::24	1000base-x-sfp	CH-NKN-CORE02_p1	CH-NKN-G08-L02-CORE01-2	02:03	Switch Core	ch-nkn-g08	FALSE	1000	USW	USW-1G-CO01-2_P2.3	18	2	ok
CH-NKN-G08-L02-DIST01::3	1000base-t	L02-ACCE06	CH-NKN-G08-L02-ACCE06	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC06_P24	15	5	ok
CH-NKN-G08-L02-DIST01::6	1000base-t	L02-ACCE07	CH-NKN-G08-L02-ACCE07	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC07_P24	15	5	ok
CH-NKN-G08-L02-DIST01::8	1000base-t	L02-ACCE08	CH-NKN-G08-L02-ACCE08	24	Switch Access	ch-nkn-g08	FALSE	1000	USW	USW-1G-AC08_P24	15	5	ok
CH-STA-L26-GFL-ACCE01::1	1000base-t		CH-STA-L26-L01-ACPO11	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP11	11	9	ok
CH-STA-L26-GFL-ACCE01::11	1000base-t		CH-STA-L26-L01-ACPO01	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP01	11	9	ok
CH-STA-L26-GFL-ACCE01::12	1000base-t		CH-STA-L26-L01-ACPO02	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP02	11	9	ok
CH-STA-L26-GFL-ACCE01::13	1000base-t		CH-STA-L26-L01-ACPO03	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP03	11	9	ok
CH-STA-L26-GFL-ACCE01::15	1000base-t		CH-STA-L26-L01-ACPO15	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP15	11	9	ok
CH-STA-L26-GFL-ACCE01::16	1000base-t		CH-STA-L26-GFL-ACPO11	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP11	11	9	ok
CH-STA-L26-GFL-ACCE01::18	1000base-t		CH-STA-L26-L01-ACPO08	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP08	11	9	ok
CH-STA-L26-GFL-ACCE01::19	1000base-t		CH-STA-L26-GFL-ACPO12	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP12	11	9	ok
CH-STA-L26-GFL-ACCE01::23	1000base-t		CH-STA-L26-GFL-ACPO13	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP13	11	9	ok
CH-STA-L26-GFL-ACCE01::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST01	1	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI01_P1	18	2	ok
CH-STA-L26-GFL-ACCE01::3	1000base-t		CH-STA-L26-GFL-ACPO03	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP03	11	9	ok
CH-STA-L26-GFL-ACCE01::5	1000base-t		CH-STA-L26-GFL-ACPO05	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP05	11	9	ok
CH-STA-L26-GFL-ACCE01::6	1000base-t	GFL-ACPO16	CH-STA-L26-GFL-ACPO16	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP16	11	9	ok
CH-STA-L26-GFL-ACCE01::7	1000base-t		CH-STA-L26-L01-ACPO10	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP10	11	9	ok
CH-STA-L26-GFL-ACCE01::8	1000base-t	GFL-ACPO15	CH-STA-L26-GFL-ACPO15	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP15	11	9	ok
CH-STA-L26-GFL-ACCE01::9	1000base-t		CH-STA-L26-GFL-ACPO09	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP09	11	9	ok
CH-STA-L26-GFL-ACCE02::1	1000base-t		CH-STA-L26-GFL-ACPO01	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP01	11	9	ok
CH-STA-L26-GFL-ACCE02::10	1000base-t		CH-STA-L26-GFL-ACPO10	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP10	11	9	ok
